type,state,statecode,c19oName,apiName
d,jharkhand,JH,Sahibganj,sahibganj
d,mizoram,MZ,Saiha,saiha
d,tamil_nadu,TN,Salem,salem
d,bihar,BR,Samastipur,samastipur
d,jammu_and_kashmir,JK,Samba,samba
d,odisha,OR,Sambalpur,sambalpur
d,uttar_pradesh,UP,Sambhal,sambhal
d,telangana,TG,Sangareddy,sangareddy
d,maharashtra,MH,Sangli,sangli
d,punjab,PB,Sangrur,sangrur
d,uttar_pradesh,UP,Sant Kabir Nagar,sant_kabir_nagar
d,jharkhand,JH,Saraikela-Kharsawan,saraikela-kharsawan
d,bihar,BR,Saran,saran
d,maharashtra,MH,Satara,satara
d,madhya_pradesh,MP,Satna,satna
d,rajasthan,RJ,Sawai Madhopur,sawai_madhopur
d,madhya_pradesh,MP,Sehore,sehore
d,manipur,MN,Senapati,senapati
d,madhya_pradesh,MP,Seoni,seoni
d,mizoram,MZ,Serchhip,serchhip
d,nct_of_delhi,DL,Shahdara,west
d,madhya_pradesh,MP,Shahdol,shahdol
d,punjab,PB,Shahid Bhagat Singh Nagar,shahid_bhagat_singh_nagar
d,uttar_pradesh,UP,Shahjahanpur,shahjahanpur
d,madhya_pradesh,MP,Shajapur,shajapur
d,uttar_pradesh,UP,Shamli,shamli
d,bihar,BR,Sheikhpura,sheikhpura
d,bihar,BR,Sheohar,sheohar
d,madhya_pradesh,MP,Sheopur,sheopur
d,arunachal_pradesh,AR,Shi Yomi,west_siang
d,himachal_pradesh,HP,Shimla,shimla
d,karnataka,KA,Shivamogga,shimoga
d,madhya_pradesh,MP,Shivpuri,shivpuri
d,jammu_and_kashmir,JK,Shopiyan,shupiyan
d,uttar_pradesh,UP,Shrawasti,shravasti
d,arunachal_pradesh,AR,Siang,west_siang
d,uttar_pradesh,UP,Siddharthnagar,siddharth_nagar
d,telangana,TG,Siddipet,siddipet
d,madhya_pradesh,MP,Sidhi,sidhi
d,rajasthan,RJ,Sikar,sikar
s,sikkim,SK,Sikkim,sikkim
d,jharkhand,JH,Simdega,simdega
d,maharashtra,MH,Sindhudurg,sindhudurg
d,madhya_pradesh,MP,Singrauli,singrauli
d,tripura,TR,Sipahijala,sipahijala
d,himachal_pradesh,HP,Sirmaur,sirmaur
d,rajasthan,RJ,Sirohi,sirohi
d,haryana,HR,Sirsa,sirsa
d,bihar,BR,Sitamarhi,sitamarhi
d,uttar_pradesh,UP,Sitapur,sitapur
d,tamil_nadu,TN,Sivaganga,sivaganga
d,assam,AS,Sivasagar,sivasagar
d,bihar,BR,Siwan,siwan
d,himachal_pradesh,HP,Solan,solan
d,maharashtra,MH,Solapur,solapur
d,uttar_pradesh,UP,Sonbhadra,sonbhadra
d,haryana,HR,Sonipat,sonipat
d,assam,AS,Sonitpur,sonitpur
d,west_bengal,WB,South 24 Parganas,south_24_parganas
d,andaman_and_nicobar,AN,South Andaman,south_andaman
d,nct_of_delhi,DL,South Delhi,west
d,nct_of_delhi,DL,South East Delhi,west
d,meghalaya,ML,South Garo Hills,south_garo_hills
d,goa,GA,South Goa,south_goa
d,assam,AS,South Salmara Mankachar,dhubri
d,sikkim,SK,South Sikkim,south_sikkim
d,tripura,TR,South Tripura,south_tripura
d,nct_of_delhi,DL,South West Delhi,west
d,meghalaya,ML,South West Garo Hills,south_west_garo_hills
d,meghalaya,ML,South West Khasi Hills,south_west_khasi_hills
d,punjab,PB,Sri Muktsar Sahib,muktsar
d,andhra_pradesh,AD,Srikakulam,srikakulam
d,jammu_and_kashmir,JK,Srinagar,srinagar
d,odisha,OR,Subarnapur,subarnapur
d,chhattisgarh,CT,Sukma,sukma
d,uttar_pradesh,UP,Sultanpur,sultanpur
d,odisha,OR,Sundargarh,sundargarh
d,bihar,BR,Supaul,supaul
d,chhattisgarh,CT,Surajpur,surajpur
d,gujarat,GJ,Surat,surat
d,gujarat,GJ,Surendranagar,surendranagar
d,chhattisgarh,CT,Surguja,surguja
d,telangana,TG,Suryapet,suryapet
d,manipur,MN,Tamenglong,tamenglong
s,tamil_nadu,TN,Tamil Nadu,tamil_nadu
d,gujarat,GJ,Tapi,tapi
d,punjab,PB,Tarn Taran,tarn_taran
d,arunachal_pradesh,AR,Tawang,tawang
d,uttarakhand,UT,Tehri Garhwal,tehri_garhwal
s,telangana,TG,Telangana,telangana
d,manipur,MN,Tengnoupal,chandel
d,tamil_nadu,TN,Tenkasi,tirunelveli
d,maharashtra,MH,Thane,thane
d,tamil_nadu,TN,Thanjavur,thanjavur
d,tamil_nadu,TN,Theni,theni
d,tamil_nadu,TN,Thiruvallur,thiruvallur
d,kerala,KL,Thiruvananthapuram,thiruvananthapuram
d,tamil_nadu,TN,Thiruvarur,thiruvarur
d,tamil_nadu,TN,Thoothukkudi,thoothukkudi
d,manipur,MN,Thoubal,thoubal
d,kerala,KL,Thrissur,thrissur
d,madhya_pradesh,MP,Tikamgarh,tikamgarh
d,assam,AS,Tinsukia,tinsukia
d,arunachal_pradesh,AR,Tirap,tirap
d,tamil_nadu,TN,Tiruchirappalli,tiruchirappalli
d,tamil_nadu,TN,Tirunelveli,tirunelveli
d,tamil_nadu,TN,Tirupathur,krishnagiri
d,tamil_nadu,TN,Tiruppur,tiruppur
d,tamil_nadu,TN,Tiruvannamalai,tiruvannamalai
d,rajasthan,RJ,Tonk,tonk
s,tripura,TR,Tripura,tripura
d,nagaland,NL,Tuensang,tuensang
d,karnataka,KA,Tumakuru,tumkur
d,rajasthan,RJ,Udaipur,udaipur
d,assam,AS,Udalguri,udalguri
d,uttarakhand,UT,Udham Singh Nagar,udham_singh_nagar
d,jammu_and_kashmir,JK,Udhampur,udhampur
d,karnataka,KA,Udupi,udupi
d,madhya_pradesh,MP,Ujjain,ujjain
d,manipur,MN,Ukhrul,ukhrul
d,madhya_pradesh,MP,Umaria,umaria
d,himachal_pradesh,HP,Una,una
d,uttar_pradesh,UP,Unnao,unnao
d,tripura,TR,Unokoti,unokoti
d,arunachal_pradesh,AR,Upper Dibang Valley,dibang_valley
d,arunachal_pradesh,AR,Upper Siang,upper_siang
d,arunachal_pradesh,AR,Upper Subansiri,upper_subansiri
d,chhattisgarh,CT,Uttar Bastar Kanker,uttar_bastar_kanker
d,west_bengal,WB,Uttar Dinajpur,uttar_dinajpur
s,uttar_pradesh,UP,Uttar Pradesh,uttar_pradesh
d,karnataka,KA,Uttara Kannada,uttara_kannada
s,uttarakhand,UT,Uttarakhand,uttarakhand
d,uttarakhand,UT,Uttarkashi,uttarkashi
d,gujarat,GJ,Vadodara,vadodara
d,bihar,BR,Vaishali,vaishali
d,gujarat,GJ,Valsad,valsad
d,uttar_pradesh,UP,Varanasi,varanasi
d,tamil_nadu,TN,Vellore,vellore
d,madhya_pradesh,MP,Vidisha,vidisha
d,chhattisgarh,CT,Vijayapura,bijapur
d,telangana,TG,Vikarabad,vikarabad
d,tamil_nadu,TN,Viluppuram,viluppuram
d,tamil_nadu,TN,Virudhunagar,virudunagar
d,andhra_pradesh,AD,Visakhapatnam,visakhapatnam
d,andhra_pradesh,AD,Vizianagaram,vizianagaram
d,telangana,TG,Wanaparthy,wanaparthy
d,telangana,TG,Warangal Rural,warangal_rural
d,telangana,TG,Warangal Urban,warangal_urban
d,maharashtra,MH,Wardha,wardha
d,maharashtra,MH,Washim,washim
d,kerala,KL,Wayanad,wayanad
s,west_bengal,WB,West Bengal,west_bengal
d,bihar,BR,West Champaran,pashchim_champaran
d,nct_of_delhi,DL,West Delhi,west
d,meghalaya,ML,West Garo Hills,west_garo_hills
d,andhra_pradesh,AD,West Godavari,west_godavari
d,meghalaya,ML,West Jaintia Hills,jaintia_hills
d,arunachal_pradesh,AR,West Kameng,west_kameng
d,assam,AS,West Karbi Anglong,karbi_anglong
d,meghalaya,ML,West Khasi Hills,west_khasi_hills
d,arunachal_pradesh,AR,West Siang,west_siang
d,sikkim,SK,West Sikkim,west_sikkim
d,jharkhand,JH,West Singhbhum,pashchimi_singhbhum
d,tripura,TR,West Tripura,west_tripura
d,nagaland,NL,Wokha,wokha
d,andhra_pradesh,AD,Y.S.R. Kadapa,y_s_r
d,telangana,TG,Yadadri Bhuvanagiri,yadadri_bhuvanagiri
d,karnataka,KA,Yadgir,yadgir
d,haryana,HR,Yamunanagar,yamunanagar
d,puducherry,PY,Yanam,yanam
d,maharashtra,MH,Yavatmal,yavatmal
d,nagaland,NL,Zunheboto,zunheboto
