name,type,state,statecode,apiName
Sahibganj,d,jharkhand,JH,sahibganj
Saiha,d,mizoram,MZ,saiha
Salem,d,tamil_nadu,TN,salem
Samastipur,d,bihar,BR,samastipur
Samba,d,jammu_and_kashmir,JK,samba
Sambalpur,d,odisha,OR,sambalpur
Sambhal,d,uttar_pradesh,UP,sambhal
Sangareddy,d,telangana,TG,sangareddy
Sangli,d,maharashtra,MH,sangli
Sangrur,d,punjab,PB,sangrur
Sant Kabir Nagar,d,uttar_pradesh,UP,sant_kabir_nagar
Saraikela-Kharsawan,d,jharkhand,JH,saraikela-kharsawan
Saran,d,bihar,BR,saran
Satara,d,maharashtra,MH,satara
Satna,d,madhya_pradesh,MP,satna
Sawai Madhopur,d,rajasthan,RJ,sawai_madhopur
Sehore,d,madhya_pradesh,MP,sehore
Senapati,d,manipur,MN,senapati
Seoni,d,madhya_pradesh,MP,seoni
Serchhip,d,mizoram,MZ,serchhip
Shahdara,d,nct_of_delhi,DL,west
Shahdol,d,madhya_pradesh,MP,shahdol
Shahid Bhagat Singh Nagar,d,punjab,PB,shahid_bhagat_singh_nagar
Shahjahanpur,d,uttar_pradesh,UP,shahjahanpur
Shajapur,d,madhya_pradesh,MP,shajapur
Shamli,d,uttar_pradesh,UP,shamli
Sheikhpura,d,bihar,BR,sheikhpura
Sheohar,d,bihar,BR,sheohar
Sheopur,d,madhya_pradesh,MP,sheopur
Shi Yomi,d,arunachal_pradesh,AR,west_siang
Shimla,d,himachal_pradesh,HP,shimla
Shivamogga,d,karnataka,KA,shimoga
Shivpuri,d,madhya_pradesh,MP,shivpuri
Shopiyan,d,jammu_and_kashmir,JK,shupiyan
Shrawasti,d,uttar_pradesh,UP,shravasti
Siang,d,arunachal_pradesh,AR,west_siang
Siddharthnagar,d,uttar_pradesh,UP,siddharth_nagar
Siddipet,d,telangana,TG,siddipet
Sidhi,d,madhya_pradesh,MP,sidhi
Sikar,d,rajasthan,RJ,sikar
Sikkim,s,sikkim,SK,sikkim
Simdega,d,jharkhand,JH,simdega
Sindhudurg,d,maharashtra,MH,sindhudurg
Singrauli,d,madhya_pradesh,MP,singrauli
Sipahijala,d,tripura,TR,sipahijala
Sirmaur,d,himachal_pradesh,HP,sirmaur
Sirohi,d,rajasthan,RJ,sirohi
Sirsa,d,haryana,HR,sirsa
Sitamarhi,d,bihar,BR,sitamarhi
Sitapur,d,uttar_pradesh,UP,sitapur
Sivaganga,d,tamil_nadu,TN,sivaganga
Sivasagar,d,assam,AS,sivasagar
Siwan,d,bihar,BR,siwan
Solan,d,himachal_pradesh,HP,solan
Solapur,d,maharashtra,MH,solapur
Sonbhadra,d,uttar_pradesh,UP,sonbhadra
Sonipat,d,haryana,HR,sonipat
Sonitpur,d,assam,AS,sonitpur
South 24 Parganas,d,west_bengal,WB,south_24_parganas
South Andaman,d,andaman_and_nicobar,AN,south_andaman
South Delhi,d,nct_of_delhi,DL,west
South East Delhi,d,nct_of_delhi,DL,west
South Garo Hills,d,meghalaya,ML,south_garo_hills
South Goa,d,goa,GA,south_goa
South Salmara Mankachar,d,assam,AS,dhubri
South Sikkim,d,sikkim,SK,south_sikkim
South Tripura,d,tripura,TR,south_tripura
South West Delhi,d,nct_of_delhi,DL,west
South West Garo Hills,d,meghalaya,ML,south_west_garo_hills
South West Khasi Hills,d,meghalaya,ML,south_west_khasi_hills
Sri Muktsar Sahib,d,punjab,PB,muktsar
Srikakulam,d,andhra_pradesh,AD,srikakulam
Srinagar,d,jammu_and_kashmir,JK,srinagar
Subarnapur,d,odisha,OR,subarnapur
Sukma,d,chhattisgarh,CT,sukma
Sultanpur,d,uttar_pradesh,UP,sultanpur
Sundargarh,d,odisha,OR,sundargarh
Supaul,d,bihar,BR,supaul
Surajpur,d,chhattisgarh,CT,surajpur
Surat,d,gujarat,GJ,surat
Surendranagar,d,gujarat,GJ,surendranagar
Surguja,d,chhattisgarh,CT,surguja
Suryapet,d,telangana,TG,suryapet
Tamenglong,d,manipur,MN,tamenglong
Tamil Nadu,s,tamil_nadu,TN,tamil_nadu
Tapi,d,gujarat,GJ,tapi
Tarn Taran,d,punjab,PB,tarn_taran
Tawang,d,arunachal_pradesh,AR,tawang
Tehri Garhwal,d,uttarakhand,UT,tehri_garhwal
Telangana,s,telangana,TG,telangana
Tengnoupal,d,manipur,MN,chandel
Tenkasi,d,tamil_nadu,TN,tirunelveli
Thane,d,maharashtra,MH,thane
Thanjavur,d,tamil_nadu,TN,thanjavur
Theni,d,tamil_nadu,TN,theni
Thiruvallur,d,tamil_nadu,TN,thiruvallur
Thiruvananthapuram,d,kerala,KL,thiruvananthapuram
Thiruvarur,d,tamil_nadu,TN,thiruvarur
Thoothukkudi,d,tamil_nadu,TN,thoothukkudi
Thoubal,d,manipur,MN,thoubal
Thrissur,d,kerala,KL,thrissur
Tikamgarh,d,madhya_pradesh,MP,tikamgarh
Tinsukia,d,assam,AS,tinsukia
Tirap,d,arunachal_pradesh,AR,tirap
Tiruchirappalli,d,tamil_nadu,TN,tiruchirappalli
Tirunelveli,d,tamil_nadu,TN,tirunelveli
Tirupathur,d,tamil_nadu,TN,krishnagiri
Tiruppur,d,tamil_nadu,TN,tiruppur
Tiruvannamalai,d,tamil_nadu,TN,tiruvannamalai
Tonk,d,rajasthan,RJ,tonk
Tripura,s,tripura,TR,tripura
Tuensang,d,nagaland,NL,tuensang
Tumakuru,d,karnataka,KA,tumkur
Udaipur,d,rajasthan,RJ,udaipur
Udalguri,d,assam,AS,udalguri
Udham Singh Nagar,d,uttarakhand,UT,udham_singh_nagar
Udhampur,d,jammu_and_kashmir,JK,udhampur
Udupi,d,karnataka,KA,udupi
Ujjain,d,madhya_pradesh,MP,ujjain
Ukhrul,d,manipur,MN,ukhrul
Umaria,d,madhya_pradesh,MP,umaria
Una,d,himachal_pradesh,HP,una
Unnao,d,uttar_pradesh,UP,unnao
Unokoti,d,tripura,TR,unokoti
Upper Dibang Valley,d,arunachal_pradesh,AR,dibang_valley
Upper Siang,d,arunachal_pradesh,AR,upper_siang
Upper Subansiri,d,arunachal_pradesh,AR,upper_subansiri
Uttar Bastar Kanker,d,chhattisgarh,CT,uttar_bastar_kanker
Uttar Dinajpur,d,west_bengal,WB,uttar_dinajpur
Uttar Pradesh,s,uttar_pradesh,UP,uttar_pradesh
Uttara Kannada,d,karnataka,KA,uttara_kannada
Uttarakhand,s,uttarakhand,UT,uttarakhand
Uttarkashi,d,uttarakhand,UT,uttarkashi
Vadodara,d,gujarat,GJ,vadodara
Vaishali,d,bihar,BR,vaishali
Valsad,d,gujarat,GJ,valsad
Varanasi,d,uttar_pradesh,UP,varanasi
Vellore,d,tamil_nadu,TN,vellore
Vidisha,d,madhya_pradesh,MP,vidisha
Vijayapura,d,chhattisgarh,CT,bijapur
Vikarabad,d,telangana,TG,vikarabad
Viluppuram,d,tamil_nadu,TN,viluppuram
Virudhunagar,d,tamil_nadu,TN,virudunagar
Visakhapatnam,d,andhra_pradesh,AD,visakhapatnam
Vizianagaram,d,andhra_pradesh,AD,vizianagaram
Wanaparthy,d,telangana,TG,wanaparthy
Warangal Rural,d,telangana,TG,warangal_rural
Warangal Urban,d,telangana,TG,warangal_urban
Wardha,d,maharashtra,MH,wardha
Washim,d,maharashtra,MH,washim
Wayanad,d,kerala,KL,wayanad
West Bengal,s,west_bengal,WB,west_bengal
West Champaran,d,bihar,BR,pashchim_champaran
West Delhi,d,nct_of_delhi,DL,west
West Garo Hills,d,meghalaya,ML,west_garo_hills
West Godavari,d,andhra_pradesh,AD,west_godavari
West Jaintia Hills,d,meghalaya,ML,jaintia_hills
West Kameng,d,arunachal_pradesh,AR,west_kameng
West Karbi Anglong,d,assam,AS,karbi_anglong
West Khasi Hills,d,meghalaya,ML,west_khasi_hills
West Siang,d,arunachal_pradesh,AR,west_siang
West Sikkim,d,sikkim,SK,west_sikkim
West Singhbhum,d,jharkhand,JH,pashchimi_singhbhum
West Tripura,d,tripura,TR,west_tripura
Wokha,d,nagaland,NL,wokha
Y.S.R. Kadapa,d,andhra_pradesh,AD,y_s_r
Yadadri Bhuvanagiri,d,telangana,TG,yadadri_bhuvanagiri
Yadgir,d,karnataka,KA,yadgir
Yamunanagar,d,haryana,HR,yamunanagar
Yanam,d,puducherry,PY,yanam
Yavatmal,d,maharashtra,MH,yavatmal
Zunheboto,d,nagaland,NL,zunheboto
